,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Tibetan_Shannan:T188,0.01935,-0.400119,0.005657,-0.033592,0.017234,-0.001116,0.00658,0.001615,0.00634,0.024602,-0.084604,-0.01094,0.007879,0.00289,-0.019408,-0.008353,-0.000652,0.003547,-0.005656,0.01088,0.007362,0.022381,0.006409,0.00494,0.04299
Tibetan_Shannan:T190,0.026179,-0.41332,0.003771,-0.039083,0.018465,0.009203,0.00564,0.001846,0.005318,0.009659,-0.078596,-0.015286,0.003568,0,-0.009908,0.002917,-0.000782,-0.006334,-0.01257,0.001251,-0.012728,0.026833,0.00037,-0.003856,0.024908
Tibetan_Shannan:T199,0.018212,-0.40215,0.009428,-0.028424,0.010771,0.005857,0.012456,0.007154,0.002659,0.011299,-0.076647,-0.011839,0.009812,-0.009083,-0.010043,-0.009414,0.001173,-0.007221,-0.004651,0.006878,-0.002371,0.023989,0.004683,0.001807,0.038559
Tibetan_Shannan:T200,0.010244,-0.406212,0.005657,-0.033592,0.013233,0.00251,0.00705,0.005538,0.008385,0.006378,-0.086391,-0.012289,0.013528,-0.00578,-0.005157,-0.009812,-0.003912,-0.003674,-0.006034,-0.003126,-0.003993,0.021763,0.009613,0.001687,0.033171
Tibetan_Shannan:T242,0.023903,-0.412305,-0.001508,-0.03876,0.017234,-0.001394,0.00329,0.003,-0.001432,0.012574,-0.078434,-0.007793,0.016204,-0.000413,-0.008415,-0.006895,0.00013,-0.00266,-0.006662,0.008504,-0.004118,0.019166,0.001849,0.001446,0.035446
Tibetan_Shannan:T248,0.021626,-0.407227,-0.000377,-0.038114,0.015387,0.00502,0.00752,0.006231,0.005113,0.018224,-0.074536,-0.009891,0.010109,0.005505,-0.011808,-0.001193,-0.003912,0.002027,-0.006662,0.006753,-0.005615,0.027575,0.007148,-0.003494,0.029219
Tibetan_Shannan:T289,0.026179,-0.410274,-0.002263,-0.033915,0.016311,0.001394,0.00705,0.002769,0.007567,0.012028,-0.087527,-3e-04,0.019029,0.00523,-0.004072,-0.003182,0.001043,-0.003167,-0.006159,0.002751,-0.001747,0.017311,0.005053,-0.004097,0.038919
Tibetan_Shigatse:T189,0.015935,-0.417383,0.001131,-0.032623,0.016003,0.001673,0.00752,0.009461,0.008385,0.020046,-0.066904,-0.008243,0.01442,0.003303,-0.004886,-0.007558,-0.007302,-0.00114,-0.002263,0.004127,-0.007237,0.025225,0.003328,-0.006507,0.032452
Tibetan_Shigatse:T192,0.022765,-0.412305,0.006034,-0.037791,0.016003,0.006693,-0.003055,0.01523,0.00225,0.00164,-0.076485,-0.001649,0.008028,-0.002752,-0.011401,-0.003845,-0.009518,-0.003167,-0.008296,0.012506,0.004243,0.009769,0.007148,-0.005904,0.025866
Tibetan_Shigatse:T215,0.018212,-0.41332,0.004903,-0.031977,0.009232,0.011713,0.00752,0.005538,0.004295,0.011663,-0.083468,-0.01124,0.011893,-0.004679,-0.009636,0.000796,-0.005867,-0.004814,-0.012947,0.008629,-0.000749,0.029306,-0.000986,0.00253,0.043589
Tibetan_Shigatse:T22,0.023903,-0.414336,-0.001131,-0.032623,0.016311,0.006693,0.009635,0.001615,0.002659,0.012939,-0.085579,-0.01079,0.007136,0.004542,-0.011672,-0.004375,0.010431,-0.003927,-0.01345,5e-04,-0.006863,0.02337,0.006162,0,0.04766
Tibetan_Shigatse:T291,0.014797,-0.415352,0.009805,-0.028747,0.01231,0.009482,0.012221,0.007846,0.000205,0.004374,-0.074861,-0.005095,0.007136,-0.00867,-0.008007,-0.007027,0.002347,-0.010769,-0.008673,0.007504,-0.004991,0.030419,0.000123,-0.003133,0.03329
Tibetan_Shigatse:T297,0.014797,-0.416367,0.006034,-0.036176,0.010771,-0.002231,0.00517,0.008538,-0.004295,0.014761,-0.076972,-0.002398,0.012487,0.001927,-0.012079,-0.005038,-0.005346,-0.005068,-0.016718,-0.008379,0.000873,0.024483,0.002958,-0.001205,0.037362
Tibetan_Shigatse:T41,0.01935,-0.409258,0.006034,-0.034884,0.01508,0.000837,-0.000235,0.000462,0.007567,0.019864,-0.074374,-0.01094,0.006392,0.000963,-0.010315,-0.007425,-0.001434,-0.002027,-0.01257,0.003502,0.002121,0.026585,0.003821,-0.006386,0.033051
Tibetan_Shigatse:T77,0.025041,-0.410274,0.001131,-0.031331,0.012618,0.00753,0.00564,0.007846,-0.003886,0.006014,-0.077297,-0.010341,0.017542,-0.012799,-0.010586,-0.005701,-0.004563,-0.007855,-0.006285,0.006003,-0.003993,0.029553,0.006162,-0.004217,0.03353
Tibetan_Shigatse:T78,0.01935,-0.414336,0.00528,-0.037791,0.013849,-0.003626,0.00611,-0.002077,0.004704,0.007836,-0.081519,-0.01124,0.011447,0.001376,-0.0057,0.002121,-0.002868,-0.004181,-0.004022,-0.005628,0.003993,0.019166,0.002958,-0.000241,0.028261
Tibetan_Shigatse:T80,0.022765,-0.410274,0.000754,-0.037468,0.017234,0.006136,0.000235,0.006231,0.0045,0.010023,-0.095484,-0.010491,0.013974,-0.012937,-0.013572,0.001326,0.001173,0.004054,-0.000377,0.010005,0.00025,0.023989,0.002835,-0.001325,0.033889
Tibetan_Xinlong:XL05,0.025041,-0.432616,0.004903,-0.038114,0.013233,0.004183,0.00893,0.002538,0.007363,0.009476,-0.084442,-0.01079,0.018137,0.000826,-0.013572,-0.007558,0.004563,-0.008868,-0.010433,0.003126,-0.001248,0.028193,0.000246,-0.006025,0.040954
Tibetan_Xinlong:XL120,0.01935,-0.415352,0.00528,-0.038437,0.011694,0.001394,0.007755,0.001154,0.000614,0.013668,-0.077784,-0.010041,0.015907,-0.00289,-0.004614,-0.001989,-0.00326,-0.006081,-0.005405,0.015507,-0.001497,0.015828,0.008997,0.000723,0.036524
Tibetan_Xinlong:XL20,0.020488,-0.448864,-0.013953,-0.069122,0.084939,0.040718,-0.00282,-0.005769,-0.014521,-0.004009,-0.039623,-0.014837,0.009217,-0.002752,-0.001629,0.00769,0.004042,0.006208,-0.000503,-0.001876,0.01123,0.002349,0.025143,0.002169,0.010897
Tibetan_Xinlong:XL22,0.01935,-0.439724,-0.001508,-0.064923,0.066474,0.038487,-0.000235,-0.003231,-0.009613,-0.000182,-0.052776,0.000749,0.005352,-0.004266,-0.008143,-0.003845,0.001043,0.00114,-0.002514,-0.011005,0.023958,0.007666,0.017255,-0.003012,0.008861
Tibetan_Xinlong:XL37,0.018212,-0.452926,-0.007542,-0.060724,0.069244,0.029284,0.00846,-0.004384,-0.015544,-0.000364,-0.061058,-0.002248,0.012339,-0.00578,0.001357,0,-0.00352,-0.003041,0.001006,-0.005628,0.007612,0.011994,0.010846,-0.000723,0.00946
